Employer_Name,EIN,State,Participants,Plan_Year,Plan_Name,Self_Insured,Market_Segment
TUNGSTEN AUTOMATION CORPORATION,330114967,CA,877.0,2024,TUNGSTEN AUTOMATION 401(K) SALARY SAVINGS PLAN,Y,Mid-Market (500-5K)
"UNIQUE INDUSTRIES, INC.",231601707,PA,877.0,2024,"UNIQUE INDUSTRIES, INC. 401(K) AND PROFIT SHARING PLAN",Y,Mid-Market (500-5K)
"EARTH RESOURCES TECHNOLOGY, LLC",521849801,MD,877.0,2024,"EARTH RESOURCES TECHNOLOGY, LLC 401(K) PLAN",Y,Mid-Market (500-5K)
"BOB'S RED MILL NATURAL FOODS, INC.",931014460,OR,877.0,2024,BOB'S RED MILL 401(K) RETIREMENT SAVINGS PLAN,Y,Mid-Market (500-5K)
TRUSTEES OF LOCAL 309 VACATION TRUST FUND,370799627,IL,877.0,2024,LOCAL 309 VACATION TRUST FUND,Y,Mid-Market (500-5K)
UNITED NATIONS FEDERAL CREDIT UNION,131628594,NY,877.0,2024,UNITED NATIONS FEDERAL CREDIT UNION CASH BALANCE RETIREMENT PENSION PLAN,Y,Mid-Market (500-5K)
"MOTION & CONTROL ENTERPRISES, LLC",510398076,PA,877.0,2024,MCE 401(K) RETIREMENT PLAN,Y,Mid-Market (500-5K)
"HOSS'S STEAK AND SEA HOUSE, INC.",251761401,PA,876.0,2024,HOSS'S STEAK AND SEA HOUSE SAVINGS PLAN,Y,Mid-Market (500-5K)
"CRUNCHYROLL, LLC",451221469,TX,876.0,2024,CRUNCHYROLL 401(K) PLAN,Y,Mid-Market (500-5K)
"GLOBAL EDUCATIONAL EXCELLENCE, LLC",383418987,MI,876.0,2024,GLOBAL EDUCATIONAL EXCELLENCE 401(K) PROFIT SHARING PLAN,Y,Mid-Market (500-5K)
"ALUMINUM PRECISION PRODUCTS, INC.",952400026,CA,876.0,2024,"ALUMINUM PRECISION PRODUCTS, INC. EMPLOYEE SAVINGS AND PROFIT SHARING PLAN",Y,Mid-Market (500-5K)
"COLONIAL PARKING, INC.",530215818,DC,876.0,2024,COLONIAL PARKING 401(K) RETIREMENT SAVINGS PLAN,Y,Mid-Market (500-5K)
"SAFILO USA, INC.",131982071,NJ,876.0,2024,SAFILO USA INC./SMITH SPORT OPTICS INC. 401K PLAN,Y,Mid-Market (500-5K)
"SHIROKI NORTH AMERICA, INC.",382812271,TN,876.0,2024,"SHIROKI NORTH AMERICA, INC. 401(K) RETIREMENT & SAVINGS PLAN.",Y,Mid-Market (500-5K)
"POWERHOUSE RETAIL SERVICES, LLC",260761398,TX,876.0,2024,POWERHOUSE RETAIL SERVICES 401(K) PLAN,Y,Mid-Market (500-5K)
"SAMSUNG SDI AMERICA, INC.",954166217,CA,876.0,2024,"SAMSUNG SDI AMERICA, INC. PROFIT",Y,Mid-Market (500-5K)
"SIRIUS TECHNICAL SERVICES, INC.",202462138,AL,876.0,2024,"SIRIUS TECHNICAL SERVICES, INC. 401(K) PLAN",Y,Mid-Market (500-5K)
"TRANS-SYSTEM, INC.",911533583,WA,876.0,2024,"TRANS-SYSTEM, INC. 401(K) PLAN",Y,Mid-Market (500-5K)
"L3HARRIS TECHNOLOGIES, INC.",340276860,FL,875.0,2024,L3HARRIS PENSION PLAN FOR EMPLOYEES IN THE ELECTRONIC SYSTEMS/INTEGRATED ELECTRONIC WARFARE SYSTEMS BARGAINING UNIT,Y,Mid-Market (500-5K)
"PETROCHOICE HOLDINGS, INC.",261558803,PA,875.0,2024,"PETROCHOICE HOLDINGS, INC. 401(K) PLAN",Y,Mid-Market (500-5K)
"RICHMOND CHILDRENS CENTER, INC. DBA RICHMOND COMMUNITY SERVICES",132736761,NY,875.0,2024,"RICHMOND CHILDREN'S CENTER, INC. 403(B) PLAN",Y,Mid-Market (500-5K)
"VANTAGE SPECIALTY CHEMICALS, INC.",262518277,IL,875.0,2024,VANTAGE SPECIALTY CHEMICALS 401(K),Y,Mid-Market (500-5K)
"OMADA HEALTH, INC.",452355015,CA,875.0,2024,OMADA HEALTH RETIREMENT PLAN,Y,Mid-Market (500-5K)
CANOO TECHNOLOGIES INC.,823375874,DE,874.0,2024,CANOO INC. 401(K) PLAN,Y,Mid-Market (500-5K)
"SAVILLS, INC",131813318,NY,874.0,2024,"SAVILLS INC., SECTION 401(K) PROFIT SHARING PLAN",Y,Mid-Market (500-5K)
J.F. AHERN CO.,390123200,WI,874.0,2024,J.F. AHERN CO. PROFIT SHARING AND 401(K) PLAN,Y,Mid-Market (500-5K)
"UNIVERSITY OF SAINT MARY, INC",480547846,KS,874.0,2024,UNIVERSITY OF SAINT MARY 401(K) RETIREMENT SAVINGS PLAN,Y,Mid-Market (500-5K)
CEMENT MASONS LOCAL 780 PENSION FUND,131626710,NY,874.0,2024,CEMENT MASONS LOCAL 780 PENSION FUND,Y,Mid-Market (500-5K)
"STELLAR INDUSTRIES, INC.",421354535,IA,874.0,2024,"STELLAR INDUSTRIES, INC. 401(K) PROFIT SHARING PLAN",Y,Mid-Market (500-5K)
CONTINENTAL VOLKSWAGON LLC,850136821,CO,874.0,2024,MCDONALD AUTOMOTIVE GROUP SALARY DEFERRAL 401(K) PLAN,Y,Mid-Market (500-5K)
"DATAMINR, INC",10928154,NY,874.0,2024,DATAMINR INC 401K PLAN,Y,Mid-Market (500-5K)
"NK PARTS INDUSTRIES, INC.",311224364,OH,874.0,2024,"NK PARTS INDUSTRIES, INC. SAVINGS & RETIREMENT PLAN",Y,Mid-Market (500-5K)
"INSPIRIUM HEALTH, LLC",874795720,SC,873.0,2024,INTERIM HEALTHCARE OF THE UPSTATE 401(K) PLAN,Y,Mid-Market (500-5K)
"PROJECT RESOURCES GROUP, INC.",841576547,CO,873.0,2024,"PROJECT RESOURCES GROUP, INC. PROFIT SHARING PLAN",Y,Mid-Market (500-5K)
"INTEGRA CONNECT NEWCO, LLC",861179475,FL,873.0,2024,"INTEGRA CONNECT, LLC 401(K) PROFIT SHARING PLAN & TRUST",Y,Mid-Market (500-5K)
"THLP CO., LLC",232922123,PA,873.0,2024,"THLP CO., LLC 401(K) PLAN",Y,Mid-Market (500-5K)
"HERITAGE TRACTOR, INC.",481194280,KS,873.0,2024,HERITAGE TRACTOR 401(K) PLAN,Y,Mid-Market (500-5K)
VIE DE FRANCE YAMAZAKI INC,541584122,NY,872.0,2024,VIE DE FRANCE YAMAZAKI INC 401(K) PROFIT SHARING PLAN & TRUST,Y,Mid-Market (500-5K)
T2 FINANCIAL LLC,823060879,OH,872.0,2024,T2 FINANCIAL LLC 401(K) PROFIT SHARING PLAN & TRUST,Y,Mid-Market (500-5K)
PORT MADISON ENTERPRISES,911700348,WA,871.0,2024,PORT MADISON ENTERPRISES 401(K) PLAN,Y,Mid-Market (500-5K)
"CREOKS MENTAL HEALTH SERVICES, INC.",731108774,OK,871.0,2024,CREOKS MENTAL HEALTH SERVICES 403(B) PLAN,Y,Mid-Market (500-5K)
"CRYOGENIC INDUSTRIES, INC.",384038627,CA,871.0,2024,CRYOGENIC INDUSTRIES 401(K) PLAN,Y,Mid-Market (500-5K)
"REMKE MARKETS, INC.",610425875,OH,871.0,2024,"REMKE MARKETS, INC. EMPLOYEES PROFIT SHARING AND SAVINGS PLAN",Y,Mid-Market (500-5K)
"MAC PAPERS, LLC",591059698,FL,871.0,2024,"MAC PAPERS AND PACKAGING, LLC 401(K) PROFIT SHARING PLAN",Y,Mid-Market (500-5K)
TRUVANT,391787024,WI,871.0,2024,TRUVANT 401(K) PROFIT SHARING PLAN,Y,Mid-Market (500-5K)
GESA CREDIT UNION,910616262,WA,871.0,2024,GESA CREDIT UNION 401(K) PLAN AND TRUST,Y,Mid-Market (500-5K)
"DOREL JUVENILE GROUP, INC.",42836423,IN,871.0,2024,"DOREL JUVENILE GROUP, INC. PENSION PLAN FOR BARGAINING UNIT EMPLOYEES",Y,Mid-Market (500-5K)
"CADENCE, INC.",541332357,VA,871.0,2024,"CADENCE, INC. 401(K) PLAN",Y,Mid-Market (500-5K)
HEFFERNAN INSURANCE BROKERS,942506099,CA,870.0,2024,HEFFERNAN INSURANCE BROKERS 401(K) PLAN,Y,Mid-Market (500-5K)
RICHMOND MEDICAL CENTER,743177454,NY,870.0,2024,RICHMOND UNIV MEDICAL CENTER PENSION PLAN FOR EMPLOYEES REPRESENTED BY NYSNA,Y,Mid-Market (500-5K)
"WADE TRIM GROUP, INC.",382236295,MI,870.0,2024,"WADE TRIM GROUP, INC. PROFIT SHARING & 401K SAVINGS PLAN",Y,Mid-Market (500-5K)
"GMI HOLDING, INC.",571125201,SC,870.0,2024,"GMI HOLDING, INC. 401(K) PLAN",Y,Mid-Market (500-5K)
"ST. LOUIS CARDINALS, LLC",431732671,MO,870.0,2024,ST. LOUIS CARDINALS SAVINGS PLAN,Y,Mid-Market (500-5K)
"WHC, LLC",720495581,LA,870.0,2024,WHC EMPLOYEES' 401(K) RETIREMENT PLAN,Y,Mid-Market (500-5K)
NATIONAL FUTURES ASSOCIATION,362960981,IL,870.0,2024,NATIONAL FUTURES ASSOCIATION EMPLOYEE RETIREMENT SAVINGS PLAN,Y,Mid-Market (500-5K)
"SAFE-GUARD PRODUCTS INTERNATIONAL, LLC",582014424,GA,870.0,2024,"SAFE-GUARD PRODUCTS INTERNATIONAL, LLC 401(K) PLAN",Y,Mid-Market (500-5K)
FIVETRAN INC.,461571767,CA,869.0,2024,FIVETRAN INC. 401(K) PLAN,Y,Mid-Market (500-5K)
"CARVAKA, LLC",611352732,OH,869.0,2024,NECCO 401(K) PLAN,Y,Mid-Market (500-5K)
"PRINCE RESORTS HAWAII, INC.",990346178,HI,869.0,2024,THE PRINCE 401(K) PLAN,Y,Mid-Market (500-5K)
TRUSTEES OF THE PLUMBERS & PIPEFITTERS LOCAL UNION 719 PENSION FUND,596178477,FL,869.0,2024,PLUMBERS & PIPEFITTERS LOCAL UNION 719 PENSION FUND,Y,Mid-Market (500-5K)
THE ART INSTITUTE OF CHICAGO,362167725,IL,869.0,2024,THE ART INSTITUTE OF CHICAGO PENSION PLAN,Y,Mid-Market (500-5K)
"HERBRUCK POULTRY RANCH, INC.",382573806,MI,869.0,2024,"HERBRUCK POULTRY RANCH, INC. 401(K) PLAN",Y,Mid-Market (500-5K)
"FLORIDA MEDICAL SYSTEMS, LLC",462780850,FL,869.0,2024,"FLORIDA MEDICAL SYSTEMS, LLC 401(K) PLAN",Y,Mid-Market (500-5K)
GREATAMERICA FINANCIAL SERVICES CORPORATION,421425592,IA,869.0,2024,GREATAMERICA FINANCIAL SERVICES CORPORATION 401(K) PROFIT SHARING PLAN,Y,Mid-Market (500-5K)
ALLIANCE SOLUTIONS GROUP LLC,454014987,OH,869.0,2024,ALLIANCE SOLUTIONS GROUP LLC POWERED BY TALENTLAUNCH 401(K) PLAN,Y,Mid-Market (500-5K)
"METALICO, INC.",522169780,NJ,869.0,2024,"METALICO, INC. SAVINGS PLAN",Y,Mid-Market (500-5K)
"GSC ENTERPRISES, INC",751413801,TX,868.0,2024,"GSC ENTERPRISES, INC 401(K) PLAN",Y,Mid-Market (500-5K)
TWENTY4SEVEN HOTELS CORPORATION,43706719,CA,868.0,2024,TWENTY FOUR SEVEN HOTELS 401K PLAN,Y,Mid-Market (500-5K)
"CRYSTAL SPRINGS SERVICES, INC.",472233413,NJ,868.0,2024,"CRYSTAL SPRINGS SERVICES, INC. 401K PLAN",Y,Mid-Market (500-5K)
SUMITOMO CORPORATION OF AMERICAS,135612163,NY,868.0,2024,LINDER INDUSTRIAL MACHINERY 401(K) RETIREMENT PLAN,Y,Mid-Market (500-5K)
XYLEM INC.,452080495,NY,868.0,2024,SENSUS USA INC. UNION 401(K) PLAN,Y,Mid-Market (500-5K)
"GREGORY M. PARKER, INC.",581808864,GA,868.0,2024,"GREGORY M. PARKER, INC. 401K PLAN",Y,Mid-Market (500-5K)
IRONWORKERS 340 RETIREMENT PLAN,386233975,IL,868.0,2024,IRONWORKERS 340 RETIREMENT PLAN,Y,Mid-Market (500-5K)
"KINGDOM ENTERPRISES, INC.",800965423,MN,868.0,2024,"KINGDOM ENTERPRISES, INC. EMPLOYEE STOCK OWNERSHIP PLAN",Y,Mid-Market (500-5K)
WESTERN EXTRUSIONS CORPORATION,751653063,TX,868.0,2024,WESTERN EXTRUSIONS RETIREMENT AND SAVINGS PLAN,Y,Mid-Market (500-5K)
MARKETWISE SOLUTIONS LLC,352622970,MD,868.0,2024,MARKETWISE SOLUTIONS LLC SAVINGS AND RETIREMENT PLAN,Y,Mid-Market (500-5K)
MBO PARTNERS,222609042,VA,868.0,2024,MBO ASSOCIATE 401(K) PLAN,Y,Mid-Market (500-5K)
ADVANSIX INC.,812525089,NJ,867.0,2024,ADVANSIX INC. RETIREMENT EARNINGS PLAN,Y,Mid-Market (500-5K)
"CTC TRADING GROUP, LLC",273972658,IL,867.0,2024,"CTC TRADING GROUP, L.L.C. 401(K) PLAN AND RETIREMENT TRUST",Y,Mid-Market (500-5K)
EAGLE CORPORATION,541120301,VA,867.0,2024,EAGLE CORPORATION EMPLOYEES FLEXIBLE COMPENSATION PLAN,Y,Mid-Market (500-5K)
TRUSTEES OF THE OCU PENSION TRUST,261574440,CA,867.0,2024,OCU PENSION TRUST,Y,Mid-Market (500-5K)
CHANNELL COMMERCIAL CORPORATION,952453261,TX,867.0,2024,CHANNELL COMMERCIAL CORPORATION 401(K) PLAN,Y,Mid-Market (500-5K)
SAN ANTONIO REGIONAL HOSPITAL,951183919,CA,867.0,2024,SAN ANTONIO REGIONAL HOSPITAL RETIREMENT PLAN,Y,Mid-Market (500-5K)
ZOELLER COMPANY,610495071,KY,867.0,2024,ZOELLER COMPANY RETIREMENT SAVINGS PLAN AND TRUST,Y,Mid-Market (500-5K)
"ALLBIRDS, INC.",473999983,CA,867.0,2024,ALLBIRDS 401(K) PLAN,Y,Mid-Market (500-5K)
"CRITERION SYSTEMS, L.L.C",202436086,VA,866.0,2024,CRITERION SYSTEMS 401(K) & PROFIT SHARING PLAN,Y,Mid-Market (500-5K)
"THE BRADFORD GROUP, INC.",510370495,IL,866.0,2024,"THE BRADFORD GROUP, INC. EMPLOYEE STOCK OWNERSHIP PLAN",Y,Mid-Market (500-5K)
ROTARY INTERNATIONAL,361707667,IL,865.0,2024,ROTARY INTERNATIONAL 401(K) PLAN,Y,Mid-Market (500-5K)
"FLOORING SERVICES, LLC",751910910,TX,865.0,2024,FLOORING SERVICES 401(K) PLAN,Y,Mid-Market (500-5K)
"SAMPSON-BLADEN OIL COMPANY, INC.",560388031,NC,865.0,2024,"SAMPSON-BLADEN OIL COMPANY, INC. PROFIT SHARING PLAN AND TRUST",Y,Mid-Market (500-5K)
IP CORPORATION,410850438,MN,865.0,2024,IP CORPORATION 401(K) PLAN,Y,Mid-Market (500-5K)
"R. H. BARRINGER DISTRIBUTING CO., INC.",560711649,NC,865.0,2024,R.H BARRINGER DISTRIBUTING COMPANY INC. EMPLOYEES RETIREMENT SAVINGS PLAN,Y,Mid-Market (500-5K)
TRAVIS CREDIT UNION,941242831,CA,865.0,2024,TRAVIS CREDIT UNION 401(K) RETIREMENT PLAN,Y,Mid-Market (500-5K)
ROSENBOOM MACHINE & TOOL INC,421258906,IA,865.0,2024,ROSENBOOM MACHINE & TOOL INC RETIREMENT PLAN & TRUST,Y,Mid-Market (500-5K)
"RATHJE ENTERPRISES, INC.",371152236,IL,865.0,2024,RATHJE COMPANIES 401(K) PLAN,Y,Mid-Market (500-5K)
"COLUMBIA HELICOPTERS, INC.",930462482,OR,865.0,2024,"COLUMBIA HELICOPTERS, INC. 401(K) PLAN",Y,Mid-Market (500-5K)
BRITISH SCHOOL OF AMERICA,522106775,FL,864.0,2024,BRITISH SCHOOL OF WASHINGTON,Y,Mid-Market (500-5K)
"THE BANCORP, INC.",233016517,DE,864.0,2024,"THE BANCORP, INC. 401(K) PLAN",Y,Mid-Market (500-5K)
ALLIANCE ENTERTAINMENT,550917836,FL,864.0,2024,ALLIANCE ENTERTAINMENT 401(K) PLAN,Y,Mid-Market (500-5K)
SCRIPTPRO LLC,481159505,KS,864.0,2024,SCRIPTPRO LLC 401(K) PLAN,Y,Mid-Market (500-5K)
"DINEAMIC GROUP, LLC",453082020,IL,864.0,2024,DINEAMIC GROUP 401(K) PLAN,Y,Mid-Market (500-5K)
HILTON INTERNATIONAL LLC,131582113,VA,864.0,2024,HILTON PUERTO RICO RETIREMENT SAVINGS PLAN,Y,Mid-Market (500-5K)
BAKER BOTTS L.L.P.,741195457,TX,864.0,2024,BAKER BOTTS L.L.P. 401K AND SAVINGS PLAN - PLAN B,Y,Mid-Market (500-5K)
ISRAEL DISCOUNT BANK OF NEW YORK,135596781,NY,864.0,2024,ISRAEL DISCOUNT BANK OF NEW YORK SAVINGS AND INVESTMENT PLAN,Y,Mid-Market (500-5K)
AURORA ORGANIC DAIRY CORP.,841097952,CO,864.0,2024,AURORA ORGANIC DAIRY CORP. 401(K) PLAN,Y,Mid-Market (500-5K)
IBEW LU 654 PENSION FUND TRUSTEES,236538183,NJ,864.0,2024,I.B.E.W. LOCAL UNION # 654 - DEFINED BENEFIT PENSION PLAN,Y,Mid-Market (500-5K)
"CASTRO ENTERPRISES, INC.",742380869,TX,863.0,2024,"CASTRO ENTERPRISES, INC. ACCIDENT PROTECTION PLAN",Y,Mid-Market (500-5K)
VESTA PROPERTY SERVICES INC,593353294,FL,863.0,2024,VESTA PROPERTY SERVICES INC 401(K) PROFIT SHARING PLAN & TRUST,Y,Mid-Market (500-5K)
"VERTICAL SCREEN, INC.",522280966,PA,863.0,2024,"VERTICAL SCREEN, INC. 401(K) PLAN",Y,Mid-Market (500-5K)
"STANDARD SALES COMPANY, L.P.",750875143,TX,863.0,2024,"STANDARD SALES COMPANY, L.P. 401(K) PLAN",Y,Mid-Market (500-5K)
"PCX AEROSTRUCTURES, LLC",465187072,CT,863.0,2024,PCX AEROSTRUCTURES LLC 401(K) PLAN,Y,Mid-Market (500-5K)
"JASPER RUBBER PRODUCTS, INC.",350856473,IN,863.0,2024,"JASPER RUBBER PRODUCTS, INC. EMPLOYEE STOCK OWNERSHIP PLAN",Y,Mid-Market (500-5K)
TOMPKINS FINANCIAL CORPORATION,141811613,NY,863.0,2024,TOMPKINS FINANCIAL CORPORATION RETIREMENT PLAN,Y,Mid-Market (500-5K)
"PARK PLACE OPERATIONS, INC.",581202840,OH,863.0,2024,"PARK PLACE OPERATIONS, INC. 401(K) PLAN",Y,Mid-Market (500-5K)
NEKTAR THERAPEUTICS,943134940,CA,862.0,2024,NEKTAR THERAPEUTICS 401(K) PLAN,Y,Mid-Market (500-5K)
MPI MANAGEMENT LLC DBA OLSHAN PR,272968288,OH,862.0,2024,MPI MGMT LLC D/B/A OLSHAN PROPERTIES 401(K) PLAN,Y,Mid-Market (500-5K)
"PLI HOLDINGS, INC.",582548084,NV,862.0,2024,PLASTICARD LOCKTECH INTERNATIONAL LLP 401(K) PLAN,Y,Mid-Market (500-5K)
GREENBRIER HOTEL CORPORATION,550332133,WV,862.0,2024,THE GREENBRIER SAVINGS AND INVESTMENT PLAN,Y,Mid-Market (500-5K)
"HUTCHINSON CLINIC, P.A.",480734011,KS,862.0,2024,"HUTCHINSON CLINIC, P.A. EMPLOYEES' 401K PROFIT SHARING PLAN AND TRUST",Y,Mid-Market (500-5K)
"ROBERTS OXYGEN COMPANY, INC.",520822869,MD,862.0,2024,"ROBERTS OXYGEN COMPANY, INC. PROFIT SHARING PLAN",Y,Mid-Market (500-5K)
"FAREVA RICHMOND, INC",453125558,VA,862.0,2024,FAREVA US SAVINGS PLAN 001,Y,Mid-Market (500-5K)
"INTRADO LIFE & SAFETY, INC.",840796285,CO,862.0,2024,INTRADO 401(K) PLAN,Y,Mid-Market (500-5K)
"LUMINATE HOME LOANS, INC.",411941324,MN,862.0,2024,LUMINATE HOME LOANS RETIREMENT PLAN,Y,Mid-Market (500-5K)
FRESHFIELDS US LLP,134035119,NY,862.0,2024,FRESHFIELDS US LLP 401(K) SAVINGS PLAN,Y,Mid-Market (500-5K)
"MAHLE INDUSTRIES, INCORPORATED",582431334,MI,862.0,2024,"MAHLE INDUSTRIES, INCORPORATED RETIREMENT PLAN",Y,Mid-Market (500-5K)
NEIGHBORHOOD HEALTH PLAN OF RHODE ISLAND,50477052,RI,861.0,2024,NEIGHBORHOOD HEALTH PLAN OF RHODE ISLAND 401K PLAN,Y,Mid-Market (500-5K)
VAN METER INC.,421448821,IA,861.0,2024,"VAN METER INDUSTRIAL, INC. EMPLOYEE STOCK OWNERSHIP PLAN",Y,Mid-Market (500-5K)
SUPERIOR READY MIX CONCRETE LP,330324782,CA,861.0,2024,"SUPERIOR READY MIX CONCRETE, L.P. PROFIT SHARING/401(K) PLAN",Y,Mid-Market (500-5K)
"OLD DOMINION INSULATION, INC.",541166463,VA,861.0,2024,"OLD DOMINION INSULATION, INC. 401(K) PLAN",Y,Mid-Market (500-5K)
"YORKMG, LLC",462998672,NY,861.0,2024,"YORKMG, LLC 401(K) PLAN",Y,Mid-Market (500-5K)
"OXFORD MANAGEMENT GROUP, LLC",273225597,KS,861.0,2024,"OXFORD MANAGEMENT GROUP, LLC 401(K) PLAN",Y,Mid-Market (500-5K)
"GREATER PHILADELPHIA HEALTH ACTION, INC",237082074,PA,861.0,2024,"GREATER PHILADELPHIA HEALTH ACTION, INC. 401(K) PLAN",Y,Mid-Market (500-5K)
"HILL, BARTH & KING, LLC",341897225,OH,860.0,2024,"HILL, BARTH & KING, LLC 401(K) PROFIT SHARING PLAN",Y,Mid-Market (500-5K)
"BRILLIO, LLC",201821766,NJ,860.0,2024,BRILLIO 401(K) PLAN,Y,Mid-Market (500-5K)
ACCURIDE CORPORATION,611109077,IN,860.0,2024,ACCURIDE CONSOLIDATED EMPLOYEE SAVINGS PLAN,Y,Mid-Market (500-5K)
"KAISER ALUMINUM WARRICK, LLC",812560915,TN,860.0,2024,KAISER ALUMINUM WARRICK LLC SUPPLEMENTAL UNEMPLOYMENT BENEFIT PLAN,Y,Mid-Market (500-5K)
"GOODE COOK, INC.",741939977,TX,860.0,2024,"GOODE COOK, INC. 401(K) PROFIT SHARING PLAN",Y,Mid-Market (500-5K)
"ORTHODONTIC PARTNERS, LLC",842065086,MI,860.0,2024,ORTHODONTIC PARTNERS 401(K) PLAN,Y,Mid-Market (500-5K)
SEATTLE UNIVERSITY,910565006,WA,859.0,2024,SEATTLE UNIVERSITY GROUP MEDICAL PLAN,Y,Mid-Market (500-5K)
ASCEND PERFORMANCE MATERIALS HOLDINGS INC.,270219853,TX,859.0,2024,PENSION PLAN FOR NYLON EMPLOYEES,Y,Mid-Market (500-5K)
ZP GROUP,273493758,VA,859.0,2024,ZP GROUP PLAN B,Y,Mid-Market (500-5K)
"REDSAIL TECHNOLOGIES, LLC",830946290,SC,859.0,2024,"REDSAIL TECHNOLOGIES, LLC RETIREMENT SAVINGS PLAN",Y,Mid-Market (500-5K)
"C.L. THOMAS, INC.",742137687,TX,859.0,2024,"C.L. THOMAS, INC. 401(K) PROFIT SHARING PLAN",Y,Mid-Market (500-5K)
"ENERVEST EMPLOYEE SERVICES, LLC",471632874,TX,859.0,2024,"ENERVEST EMPLOYEE SERVICES, LLC 401(K) SAVINGS PLAN",Y,Mid-Market (500-5K)
"LIFE EMS, INC.",382285796,MI,859.0,2024,"LIFE EMS, INC. RETIREMENT AND SAVINGS PLAN",Y,Mid-Market (500-5K)
"MCBRIDE CLINIC, INC.",730714291,OK,859.0,2024,401(K) PROFIT SHARING PLAN FOR EMPLOYEES OF MCBRIDE ORTHOPEDIC HOSPITAL,Y,Mid-Market (500-5K)
DANVILLE SERVICES CORPORATION,870447425,UT,858.0,2024,DANVILLE SERVICES CORPORATION 401(K) RETIREMENT SAVINGS PLAN,Y,Mid-Market (500-5K)
MEDICAL ASSOCIATION OF GEORGIA,580605267,GA,858.0,2024,MEDICAL ASSOCIATION OF GEORGIA MULTIPLE EMPLOYER 401(K) PROFIT SHARING PLAN,Y,Mid-Market (500-5K)
"ENTACT, LLC",770594061,IL,858.0,2024,"ENTACT, LLC 401(K) SAVINGS PLAN",Y,Mid-Market (500-5K)
"GREER INDUSTRIES, INC.",340737241,WV,858.0,2024,GREER RETIREMENT PLAN,Y,Mid-Market (500-5K)
HOPEHEALTH,454391049,RI,858.0,2024,HOPEHEALTH RETIREMENT PLAN,Y,Mid-Market (500-5K)
HALLCON CORPORATION,954688677,KS,857.0,2024,HALLCON TEXAS INJURY BENEFIT PLAN,Y,Mid-Market (500-5K)
NECA-IBEW LOCAL 584 PENSION PLAN,736130146,TX,857.0,2024,NECA-IBEW LOCAL 584 PENSION PLAN,Y,Mid-Market (500-5K)
TRIMONT LLC,581524431,GA,857.0,2024,TRIMONT LLC 401(K) PLAN,Y,Mid-Market (500-5K)
"MARAVAI INTERMEDIATE HOLDINGS, LLC",813611979,CA,857.0,2024,"MARAVAI INTERMEDIATE HOLDINGS, LLC 401(K) PLAN",Y,Mid-Market (500-5K)
"THE PHYSICIANS' GROUP, LLC",731488111,OK,857.0,2024,"THE PHYSICIANS' GROUP, LLC WELFARE BENEFIT PLAN",Y,Mid-Market (500-5K)
INVESTMENT CORPORATION OF AMERICA,751721974,TX,857.0,2024,INVESTMENT CORPORATION OF AMERICA PROFIT SHARING 401K PLAN,Y,Mid-Market (500-5K)
"DISCOVERY EDUCATION, INC.",362298050,NC,857.0,2024,DISCOVERY EDUCATION 401(K) PLAN,Y,Mid-Market (500-5K)
TRUSTEES OF METAL LATHING IND. GEN PEN PLAN & GEN PEN FUND,526123548,DE,856.0,2024,WOOD WIRE AND METAL LATHING IND. GENERAL PENSION PLAN & GENERAL PENSION FUND,Y,Mid-Market (500-5K)
BETHANY RETIREMENT LIVING,450394181,ND,856.0,2024,BETHANY RETIREMENT LIVING 401(K) PLAN,Y,Mid-Market (500-5K)
"MCELROY METAL, INC.",720573087,LA,856.0,2024,"MCELROY METAL MILL, INC. PROFIT SHARING & 401(K) PLAN",Y,Mid-Market (500-5K)
"AMERICAN AUTOMOBILE ASSOCIATION, INC. AND SUBS.",530025420,FL,856.0,2024,AAA RETIREMENT PLAN,Y,Mid-Market (500-5K)
"KYOCERA DOCUMENT SOLUTIONS AMERICA, INC.",952819506,NJ,856.0,2024,KDA DIRECT OPERATIONS 401(K) PLAN,Y,Mid-Market (500-5K)
DAP HEALTH,330068583,CA,856.0,2024,DAP HEALTH 401(K) PLAN,Y,Mid-Market (500-5K)
"TWIN LIQUORS, LP",742212335,TX,855.0,2024,TWIN LIQUORS 401(K) RETIREMENT SAVINGS PLAN,Y,Mid-Market (500-5K)
HARWOOD INTERNATIONAL INCORPORATED,752256834,TX,855.0,2024,HARWOOD INTERNATIONAL INCORPORATED PENSION & PROFIT SHARING PLAN,Y,Mid-Market (500-5K)
IBEW 648 PENSION PLAN,316134845,WV,855.0,2024,IBEW 648 PENSION PLAN,Y,Mid-Market (500-5K)
CORNERSTONES OF CARE,431689138,MO,855.0,2024,CORNERSTONES OF CARE EMPLOYEES SAVINGS TRUST,Y,Mid-Market (500-5K)
"MWD MANAGEMENT, LLC",813740124,TN,855.0,2024,"MWD MANAGEMENT, LLC 401(K) PROFIT SHARING PLAN AND TRUST",Y,Mid-Market (500-5K)
ATRION CORPORATION,630821819,TX,855.0,2024,ATRION CORPORATION 401(K) SAVINGS PLAN,Y,Mid-Market (500-5K)
"SHK MANAGEMENT, INC.",232827661,PA,855.0,2024,KORMAN COMMUNITIES 401(K) PLAN,Y,Mid-Market (500-5K)
AURORIUM HOLDINGS LLC,813767219,IN,855.0,2024,AURORIUM 401(K) DEFERRED SAVINGS PLAN,Y,Mid-Market (500-5K)
